"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"191",109609,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-MG-BR-AM-BR-MT-BR-GO"
"192",109617,"BR","CULTIVADA","Não endemica/Pampa","BR-RS"
"193",81560,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-SC-BR-RS-BR-PR-BR-PA-BR-DF"
"194",109622,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Pampa","BR-SP-BR-SC-BR-RS-BR-PR"
"195",109625,"BR","CULTIVADA","Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR"
"196",82049,"BR","CULTIVADA","Não endemica/Amazônia-Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pantanal","BR-PA-BR-RJ-BR-AM-BR-MS-BR-GO"
"197",109626,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR"
"198",109621,"BR","CULTIVADA","Não endemica/Mata Atlântica","BR-RS"
"199",25357,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-PE"
"200",109631,"BR","NATURALIZADA","Não endemica/Pampa","BR-SC-BR-RS"
"201",16955,"BR","NATURALIZADA","Não endemica/Cerrado","BR-PI-BR-MG"
"202",6696,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-RJ-BR-SC-BR-RS-BR-PR"
"203",6700,"BR","NATURALIZADA","Não endemica/Mata Atlântica-Não endemica/Pampa","BR-SP-BR-MG-BR-RS"
"204",91827,"BR","NATIVA","Não endemica/Mata Atlântica","BR-SP-BR-SC-BR-PR-BR-GO"
"205",4359,"BR","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-PR"
"206",101125,"BR","NATIVA","Endemica/Mata Atlântica","BR-SC-BR-RS"
"207",8078,"BR","NATIVA","/Cerrado-/Mata Atlântica","BR-MG-BR-MA-BR-MS-BR-GO-BR-DF"
"208",22798,"BR","NATURALIZADA","Não endemica/","NA"
"209",19420,"BR","NATIVA","Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Pantanal","BR-MA-BR-SE-BR-RN-BR-PB-BR-AL-BR-PI-BR-TO-BR-SP-BR-MG-BR-PE-BR-BA-BR-MT-BR-MS-BR-GO-BR-DF"
"210",116734,"BR","NATIVA","Não endemica/","BR-SP-BR-RS"
"211",29479,"BR","NATIVA","Endemica/Cerrado","BR-TO-BR-GO"
"212",108121,"BR","NATIVA","Não endemica/","BR-SP-BR-RJ"
"213",121129,"BR","NATIVA","Não endemica/","BR-SP-BR-RJ-BR-PR"
"214",23050,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-PR-BR-PE-BR-PB-BR-CE-BR-BA-BR-AM-BR-AC-BR-MT-BR-DF"
"215",92712,"BR",NA,"/Mata Atlântica","BR-SC"
"216",6360,"BR","NATIVA","Endemica/Mata Atlântica","BR-BA"
"217",110243,"BR","NATIVA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-MG-BR-RS-BR-PR-BR-BA-BR-MT-BR-MS-BR-DF-BR-SC"
"218",101617,"BR","NATIVA","Não endemica/Amazônia","BR-RO-BR-PA"
