"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"411","Daphnopsis coriacea Taub.","Daphnopsis coriacea Taub.","Daphnopsis coriacea","3568237","3568237","SPECIES","ACCEPTED"
"412","Daphnopsis martii Meisn.","Daphnopsis martii Meisn.","Daphnopsis martii","7311267","7311267","SPECIES","ACCEPTED"
"413","Daphnopsis pseudosalix Domke","Daphnopsis pseudosalix Domke","Daphnopsis pseudosalix","3570475","3570475","SPECIES","ACCEPTED"
"414","Daphnopsis schwackeana Taub.","Daphnopsis schwackeana Taub.","Daphnopsis schwackeana","7311582","7311582","SPECIES","ACCEPTED"
"415","Daphnopsis utilis Warm.","Daphnopsis utilis Warm.","Daphnopsis utilis","3570130","3570130","SPECIES","ACCEPTED"
"416","Coussapoa pachyphylla Akkermans & C.C.Berg","Coussapoa pachyphylla R.W.A.P.Akkermans & C.C.Berg","Coussapoa pachyphylla","4013211","4013211","SPECIES","ACCEPTED"
"417","Coussapoa sprucei Mildbr.","Coussapoa sprucei Mildbr.","Coussapoa sprucei","4013623","4013623","SPECIES","ACCEPTED"
"418","Qualea ingens Warm.","Qualea ingens Warm.","Qualea ingens","7288337","7288337","SPECIES","ACCEPTED"
"419","Vochysia discolor Warm.","Vochysia discolor Warm.","Vochysia discolor","4030802","4030802","SPECIES","ACCEPTED"
"420","Vochysia lucida C.Presl","Vochysia lucida C.Presl","Vochysia lucida","4030435","4030435","SPECIES","ACCEPTED"
"421","Vochysia oppugnata (Vell.) Warm.","Vochysia oppugnata Warm.","Vochysia oppugnata","4030545","4030545","SPECIES","ACCEPTED"
"422","Vochysia saldanhana Warm.","Vochysia saldanhana Warm.","Vochysia saldanhana","8043892","8043892","SPECIES","ACCEPTED"
"423","Acosmium diffusissimum (Mohlenbr.) Yakovlev","Acosmium diffusissimum (Mohlenbr.) Yakovlev","Acosmium diffusissimum","2970504","2970504","SPECIES","ACCEPTED"
"424","Aeschynomene monteiroi Afr.Fern. & P.Bezerra","Aeschynomene monteiroi A.Fern. & P.Bezerra","Aeschynomene monteiroi","2949180","2949180","SPECIES","ACCEPTED"
"425","Androcalymma glabrifolium Dwyer","Androcalymma glabrifolium Dwyer","Androcalymma glabrifolium","2947112","2947112","SPECIES","ACCEPTED"
"426","Bauhinia aureopunctata Ducke","Bauhinia aureopunctata Ducke","Bauhinia aureopunctata","2953424","2953424","SPECIES","ACCEPTED"
